Investor,RemunerationPolicy
Canada Pension Plan Investment Board,"**Canada Pension Plan Investment Board Voting Policy on Remuneration**

- **General Approach:** Executives should receive market competitive total compensation tied to individual and company performance, incentivizing long-term interests and appropriate risk-taking while considering material ESG factors. Boards should adopt a long-term view towards shareholder value creation.

- **Salary Caps and Bonuses:** Companies should not offer excessive severance or change of control packages, supplemental executive retirement plans, or discretionary awards that reward executives when performance objectives have not been met. No explicit mention of salary caps.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Support voting on all equity-based compensation plans due to potential dilution. Will generally vote against plans if total cost is unreasonable, permits repricing without shareholder approval, allows excessive change of control payouts, or is not sufficiently performance-based. Prefer stock-based over option-based compensation for better alignment and predictability. Guideline opposes stock options for directors.

- **Performance Alignment:** Executive compensation should be linked to meaningful, disclosed performance targets relevant to long-term value creation, with a significant relationship between pay and performance. Equity-based compensation must have clearly disclosed performance criteria and hurdles. Compensation plans should discourage excessive risk-taking and encourage consideration of material ESG factors.

- **Clawbacks:** Support policies requiring repayment or forfeiture of performance-based compensation due to misstated financial results or misconduct including fraud, negligence, or willful misconduct leading to financial restatement or negative company impact.

- **ESG-Based Remuneration:** Executives should consider material ESG factors in their performance and compensation. Boards are expected to integrate ESG considerations into strategy and disclose management and performance on these factors. Compensation packages should incentivize outcomes consistent with ESG considerations where appropriate.

- **Voting Considerations:**
  - Pay-for-performance alignment assessed against meaningful performance targets.
  - Independent and effective compensation committee involvement.
  - Transparent and comprehensive compensation disclosure, including rationale for non-standard metrics and year-over-year changes.
  
- **In summary:** CPP Investments supports executive remuneration that is transparent, performance-based, aligned with long-term shareholder value, incorporates ESG considerations, avoids excessive pay and rewards, and includes clawback mechanisms for misconduct or misstated results."
Canada Post Corp. Registered Pension Plan (Invt Mgmt),"**Canada Post Corp. Registered Pension Plan (Invt Mgmt) Voting Policy on Remuneration**

- **General Approach:** Compensation should align executive and CEO interests with long-term company and shareholder value, be reasonable, non-excessive, and sensitive to societal norms and employee conditions. Compensation committees must be independent, with clear policies linked to corporate strategy and reviewed regularly.

- **Salary Caps and Bonuses:** Not mentioned.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:**  
  - Oppose plans granting board broad discretion on grant terms; prefer shareholder-approved, results-driven formulas.  
  - Oppose change-in-control provisions that allow automatic full vesting and arrangements entrenching management during takeovers.  
  - Oppose plans allocating 20% or more of option pool yearly to one individual or universal employee plans.  
  - Oppose dilution limits ≥10% of outstanding shares; dilution >5% on large/mature firms subject to close scrutiny.  
  - Oppose discounted options with exercise price <100% fair market value at grant date.  
  - Director awards must be on shareholder-approved plans and not exceed 1% of shares for emerging firms or 0.25% for large/mid-cap firms.  
  - Oppose repricing, replacing, extending, or altering options after price falls.  
  - Restricted stock must vest over at least two years.  
  - Employee share ownership loans supported if reasonably capped and commercially consistent.  
  - Vote against stock option plans that fail these standards and withhold from compensation committee or board if repriced options occurred in past fiscal year.

- **Performance Alignment:**  
  - Prefer equity incentives linked to predetermined, company-specific, performance targets aligned with strategic objectives.  
  - Incentive compensation should reward achievement of benchmarks, not mediocrity or failure.  
  - Executive plans should include relevant non-financial sustainability targets.  
  - Discretionary awards should be limited to exceptional circumstances with compelling rationale.

- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:**  
  - Executive compensation should consider material ESG risks and opportunities, including non-financial targets tied to sustainability risks relevant to the business model.

- **Voting Considerations:**  
  - Vote against non-independent directors on audit, compensation, or nominating committees.  
  - Vote against combined Chair/CEO roles without a lead independent director.  
  - Vote against problematic pay practices, pay-for-performance disconnect, frequent discretionary awards without rationale, and poor board communication on pay.  
  - Vote against excessive severance exceeding two times annual cash compensation and single-trigger change-of-control payments.  
  - Vote for proposals for annual advisory vote on executive compensation, shareholder rights to call special meetings, and against limiting such rights.  
  - Vote against stock option plan repricing; withhold votes from responsible directors in such cases.

- **In summary:** Canada Post supports well-structured, performance- and ESG-aligned executive compensation governed by independent committees with stringent limits on LTIPs and strong shareholder accountability."
Candriam Investors Group,"**Candriam Investors Group Voting Policy on Remuneration**

- **General Approach:** Remuneration is key for long-term performance and reflects company values; it should balance performance and risk-taking with fixed and variable components consistent with national and sector standards. Candriam advocates for say-on-pay, with shareholder rights to approve remuneration ex-ante and ex-post.

- **Salary Caps and Bonuses:** No Executive Director can set their own remuneration; bonuses must be linked to stringent, measurable performance criteria and justified if increased by more than 10%. Bonuses cannot be justified by decreases in capital spending or R&D. Maximum potential awards and targets must be disclosed. Non-performance-related payments should not be excessive.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Dilution from stock option plans is analyzed but no explicit numeric limit stated; Candriam discourages stock option reliance solely on share price performance and encourages other metrics. Retesting of LTIP conditions is allowed if evidence of best effort exists. Recruitment incentives must be justified and proportionate.

- **Performance Alignment:** Variable remuneration must have quantifiable, measurable, and challenging targets with clear rationale; different metrics for short-term and long-term plans; minimum shareholding requirements for executives are favored. Non-financial performance criteria, especially ESG-related and climate-change objectives, are encouraged but must be specific and transparent.

- **Clawbacks:** Present; companies are encouraged to adopt compensation recovery (“clawback”) policies allowing recoupment of incentive-based pay in cases like restatements or acts detrimental to the company.

- **ESG-Based Remuneration:** Non-financial ESG metrics are welcomed in executive remuneration if measurable, transparent, and related to business impact. From 2024, companies prioritized for such integration. ESG committees at board level are expected in high-emitter sectors by 2027.

- **Voting Considerations:**
  - Adequacy and transparency of remuneration disclosure, including total remuneration package, CEO pay ratio, and peer benchmarking.
  - Alignment of remuneration with pay-for-performance principles and avoidance of excessive compensation.
  - Independence and role of the Remuneration Committee in implementation and oversight; opposition possible if concerns arise over committee independence or insufficient disclosure.

- **In summary:** Candriam emphasizes transparent, performance-aligned, and ESG-integrated remuneration practices with robust shareholder oversight and clawback mechanisms to mitigate unnecessary risk-taking and ensure fair executive compensation."
Capital Research & Management Co. (World Investors),"**Capital Research & Management Co. (World Investors) Voting Policy on Remuneration**

- **General Approach:** Generally ratify executive compensation unless there are specific concerns about structure or amounts; expect short-term incentives to be no more than one-third and long-term incentives at least two-thirds of total compensation.

- **Salary Caps and Bonuses:** Generally oppose proposals imposing arbitrary limits on executive compensation or restrictions on pay; support shareholder approval for executive severance agreements and limits on severance benefits up to 2.99 times pay and bonus.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Options should be priced at or above fair market value; generally do not support repricing ""out-of-the-money"" options but may consider limited value-neutral exchanges; oppose evergreen plans without shareholder approval; no rigid dilution limits but oppose ""excessive"" dilution considering company lifecycle, size, growth, and other factors.

- **Performance Alignment:** Prefer linking compensation (cash and equity) to appropriate long-term performance criteria; consider performance criteria and vesting requirements in restricted stock plans.

- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:** Oppose linking executive pay to social criteria and executive pay restrictions based on social factors.

- **Voting Considerations:**
  - Structure and amounts paid, including dilution and repricing.
  - Alignment of incentives with long-term performance.
  - Reasonableness of compensation and shareholder protections such as severance approvals.

- **In summary:** Support competitive and performance-aligned executive compensation with scrutiny on dilution, repricing, and severance arrangements, opposing arbitrary caps or social-linked pay restrictions."
"Charles Schwab Investment Management, Inc","**Charles Schwab Investment Management, Inc Voting Policy on Remuneration**

- **General Approach:** CSIM supports executive compensation aligned with shareholder economic interests and lacking problematic features. It takes a long-term, measured approach emphasizing transparency and corporate governance to protect and promote shareholder value.

- **Salary Caps and Bonuses:** Opposes compensation plans with significant guaranteed bonuses or low amount at risk, excessive one-time payments, perquisites, tax gross-ups, or golden parachutes.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Supports stock-based compensation plans unless total potential dilution appears excessive. Repricing proposals are generally supported only if excluding senior management and directors, not excessively dilutive, and company has not significantly underperformed peers.

- **Performance Alignment:** Requires compensation plans to have compensation at risk, adequate disclosure and rationale for goals and amounts, and avoid lowering goals or increasing amounts without explanation.

- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:** Evaluates proposals case-by-case considering company ESG practices, reporting level, peer disclosures, and controversies or litigation.

- **Voting Considerations:**
  - Executive compensation alignment with shareholder interests and industry peers.
  - Presence of problematic compensation features such as excessive bonuses, one-time payments, and lack of transparency.
  - Dilution and structure of equity compensation and repricing plans.

- **In summary:** CSIM supports transparent, performance-aligned remuneration structures that protect shareholder value and limits excessive dilution and problematic compensation practices."
Cardano (fka ACTIAM NV),"**Cardano (fka ACTIAM NV) Voting Policy on Remuneration**

- **General Approach:** Cardano votes on remuneration proposals linking executive pay to social, environmental, and ethical targets, supporting structures aligned with long-term value creation and sustainability. Votes may be escalated based on engagement and materiality of issues.

- **Salary Caps and Bonuses:** Supports implementation of national government recommendations on maximum pay levels if reasonable; opposes guaranteed bonuses; supports deferral of bonuses over 3–5 years with clawback provisions; votes against excessive severance packages and transaction bonuses rewarding solely for deals irrespective of outcomes.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Supports equity-based incentive plans with social, environmental, and ethical KPIs and transparent, challenging performance criteria over at least three years; votes against plans causing substantial shareholder dilution; opposes repricing, surrender and re-grant, underwater options, and retesting of performance conditions; supports relative performance metrics that do not vest below median performance.

- **Performance Alignment:** Requires a clear link between executive remuneration and achievement of relevant social, environmental, and ethical targets, with transparent and challenging performance metrics and a minimum three-year performance period; supports use of relative performance metrics; expects holding or vesting conditions aligned with long-term value; opposes remuneration without relevant performance hurdles.

- **Clawbacks:** Supports adoption of clawback policies enabling companies to reclaim compensation found to be erroneous, fraudulent, or manipulated; may vote against policies lacking clawbacks particularly if recent major ESG controversies or accounting issues are present.

- **ESG-Based Remuneration:** Votes against remuneration arrangements in key sector companies that fail to integrate clear ESG targets such as WHO health goals or climate goals; supports inclusion of social, environmental, and ethical KPIs in executive incentive plans; assesses the relevance and stringency of sustainability metrics; may vote against plans ignoring material ESG risks in performance assessment.

- **Voting Considerations:**
  - Link between remuneration and ESG/social/ethical targets.
  - Transparency and disclosure adequacy on remuneration policies and performance metrics.
  - Responsiveness of remuneration committee to shareholder and stakeholder concerns.

- **In summary:** Cardano rigorously evaluates remuneration policies to ensure alignment with sustainability, transparent performance metrics, shareholder interests, and long-term value creation, applying ESG considerations as a core element of voting decisions."
Chelverton Asset Management,"**Chelverton Asset Management Voting Policy on Remuneration**

- **General Approach:** Executive remuneration should encourage long-term value creation and alignment of management and shareholder interests, including clawback mechanisms for misconduct.

- **Salary Caps and Bonuses:** Basic pay awards above inflation must be performance-justified with challenging, clear targets; one-off recruitment awards should not become ongoing remuneration.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs should be simple, share-based with minimum holding periods; Total Shareholder Return metrics are favored; shareholder dilution from options or new shares should not be excessive.

- **Performance Alignment:** Performance thresholds must be challenging and linked to clear targets; inclusion of material ESG management targets alongside financial targets is favored.

- **Clawbacks:** Present; required in the event of misconduct.

- **ESG-Based Remuneration:** Favored; executive pay should incorporate relevant ESG targets to support delivery.

- **Voting Considerations:**
  - Engagement with companies on remuneration proposals not meeting broad criteria.
  - Use of abstention or votes against management resolutions if concerns remain unresolved.
  - Consideration of proportionate ESG integration in remuneration alongside financial targets.

- **In summary:** Chelverton supports remuneration frameworks that align long-term shareholder interests with management through performance-based, ESG-integrated, and governance-conscious incentives, with active engagement and voting to enforce standards."
"Churches, Charities, and Local Authorities Investment Management Limited (CCLA Investment Management)","**Churches, Charities, and Local Authorities Investment Management Limited (CCLA Investment Management) Voting Policy on Remuneration**

- **General Approach:** Executive remuneration must align with long-term company and shareholder interests, avoid excess, be simple, linked to performance, and incentivise good conduct; remuneration committee members must be independent non-executive directors.  
- **Salary Caps and Bonuses:** Annual bonuses should not exceed 100% of base salary for on-target performance; cash/retention shares should not exceed 200% of base salary; total potential incentive remuneration must not exceed six times base salary; total remuneration should not exceed 600% of base salary.  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs should span five to seven years, paid in shares held over several years; vesting before agreed period is unacceptable; short-term bonuses should not exceed long-term incentives; CCLA rejects removal of 5% dilution limit for discretionary schemes in the UK.  
- **Performance Alignment:** Remuneration must link to transparent, measurable long- and short-term targets; underperformance is not rewarded; remuneration plans must include non-financial metrics such as ESG, climate targets, or ethical/social performance; executive share ownership is expected and shares should be held until retirement.  
- **Clawbacks:** Malus and clawback provisions are assessed and considered positively; their use is a factor in voting decisions.  
- **ESG-Based Remuneration:** ESG, climate, social, and ethical metrics must be incorporated in remuneration schemes; credible climate-related KPIs embedded in executive remuneration are required or votes against the report will be cast.  
- **Voting Considerations:**
  - Vote against remuneration proposals at UK large and mid-cap companies that are not living wage accredited.
  - Escalate votes against remuneration committee chairs and members for ongoing or multiple remuneration concerns.
  - Vote against remuneration where remuneration policy breaches local good practice, lacks performance targets, or omits non-financial factors.
- **In summary:** CCLA demands clear, fair, performance- and ESG-aligned executive remuneration with strict limits and robust escalation for misalignment or excess."
Cohen & Steers,"**Cohen & Steers Voting Policy on Remuneration**

- **General Approach:** Votes on executive compensation and remuneration-related proposals are determined on a case-by-case basis considering the reasonableness of pay structures, disclosure adequacy, and alignment with shareholder interests.

- **Salary Caps and Bonuses:** Generally support annual bonuses to directors and statutory auditors except in cases of scandals or extreme underperformance; approval of cash or cash-and-stock bonus plans is supported.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Evaluated case-by-case with support for plans that have robust incentives, challenging and disclosed performance criteria, and against plans with excessive discretion or easily achievable metrics; proposals for share option plans require clear disclosure, appropriate dilution levels, disclosed exercise prices, and challenging vesting criteria; transferable stock options proposals evaluated case-by-case.

- **Performance Alignment:** Expect remuneration committees to explain challenging performance criteria and how these align with shareholder interests; support plans with performance-based vesting; evaluate vesting requirements and proportion of performance-conditioned equity grants.

- **Clawbacks:** Present; support recovery of incentive bonuses if fraud, misconduct, or negligence significantly contributed to financial restatements; clawback policies are considered in plan evaluations.

- **ESG-Based Remuneration:** Not mentioned explicitly for remuneration but favor proposals disclosing material social issues and support diversity-related proposals.

- **Voting Considerations:**
  - Reasonableness and proportionality of compensation relative to company size and peer group.
  - Plan cost, features, grant practices including burn rates, vesting periods, discretionary vesting, and share recycling.
  - Disclosure adequacy including clear explanation of remuneration plans, share ownership, and service contracts.

- **In summary:** Voting decisions on remuneration proposals emphasize transparency, alignment with shareholder interests, challenging performance metrics, and avoidance of problematic pay practices."
Colorado Public Employees' Retirement Association,"**Colorado Public Employees' Retirement Association Voting Policy on Remuneration**

- **General Approach:** Compensation committees should have flexibility to determine executive compensation, ensuring executives are not preferred over shareholders for non-cash awards, which require shareholder approval. Compensation packages should be performance-based and allow for an annual advisory shareholder vote.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Stock option awards should include provisions for holding options past retirement. PERA opposes acceleration of vesting of equity awards on change-in-control events except for pro rata vesting. PERA supports employee stock ownership arrangements or increases in authorized shares, provided allocated shares do not exceed 5% of outstanding shares.

- **Performance Alignment:** Compensation should maintain appropriate pay-for-performance alignment emphasizing long-term shareholder value. Compensation packages should be performance-based considering long term goals and strategies. Minimum stock ownership, holding requirements, incentive bonuses, and long-term incentive arrangements are factors in evaluation.

- **Clawbacks:** Present. Clawback provisions should enable recoupment of executive incentive compensation due to fraud, restatement of financial statements, personal misconduct, or ethical lapses harming company reputation, with public disclosure required.

- **ESG-Based Remuneration:** Not mentioned

- **Voting Considerations:**
  - Problematic compensation practices and pay-for-performance misalignment justify voting Against or Withhold for compensation committee members or full board.
  - PERA will vote For proposals eliminating non-employee director retirement plans.
  - PERA will generally vote For proposals prohibiting executives and directors from hedging equity-based awards.

- **In summary:** PERA promotes performance-based, transparent executive compensation aligned with long-term shareholder interests and governance accountability, including clawbacks and restrictions on poor pay practices."
Columbia Threadneedle Investments,"**Columbia Threadneedle Investments Voting Policy on Remuneration**

- **General Approach:** The Firm votes proxies to act in the best interests of each client portfolio, applying global guidelines focused on good governance, including compensation, and may oppose resolutions where practices fall short of expectations.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned

- **Performance Alignment:** Not mentioned

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** The Firm integrates ESG considerations into proxy voting and engagement as part of its governance expectations.

- **Voting Considerations:**
  - Voting is guided by expectations of good governance and compensation practices.
  - The Firm may oppose or abstain from voting on remuneration-related resolutions based on severity of concerns.
  - Portfolio Managers may request detailed voting reviews on company resolutions, influencing prioritization.

- **In summary:** The Firm applies a fiduciary-driven, governance-focused approach to remuneration-related proxy voting, embedding ESG and client-specific factors to protect client interests."
Connor Clark & Lunn,"**Connor Clark & Lunn Voting Policy on Remuneration**

- **General Approach:** The compensation committee should have sufficient latitude to determine compensation types and mix; plans must be transparent, reasonable, and provide the right incentives to enhance shareholder value. Say-on-pay proposals are considered case-by-case based on disclosure, practices, and pay-for-performance alignment.

- **Salary Caps and Bonuses:** Not mentioned.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Review plans case-by-case ensuring fixed nature, no repricing of underwater options, strike price not below market price at grant, suitable vesting periods, limits on employee eligibility, and no excessive dilution. Preference for RSUs over stock options; generally oppose stock option plans.

- **Performance Alignment:** Incentive compensation must be tied to individual and corporate performance linked to strategic objectives, not general market or sector performance. Incentives should vest over a sufficient period to ensure long-term focus. Management expected to have direct ownership; share retention policies considered on reasonability of threshold, timeline, and pay practices.

- **Clawbacks:** Present; support shareholder proposals for clawback policies to recoup incentive compensation in cases of fraud, negligence or willful misconduct, regardless of financial restatement.

- **ESG-Based Remuneration:** Not mentioned.

- **Voting Considerations:**
  - Support annual advisory votes on executive compensation; may withhold votes from compensation committee if no annual say-on-pay or unresponsiveness to shareholder proposals.
  - Oppose ‘single trigger’ severance (golden parachutes).
  - Evaluate plans for excessive dilution and reasonable pay practices.

- **In summary:** CC&L supports transparent, reasonable executive and director compensation aligned with long-term shareholder interests and performance, with strong governance safeguards."
Comptroller NYC,"**Comptroller NYC Voting Policy on Remuneration**

- **General Approach:** Support compensation incentives that promote, sustain, and protect long-term value creation and align executives’ interests with long-term interests of the corporation and shareowners. Boards should articulate compensation philosophy linked to strategic objectives with clear disclosure.

- **Salary Caps and Bonuses:** Oppose executive severance payments greater than three times average annual compensation from the previous five years or with single-trigger payouts without loss of employment. Oppose multi-year contracts with guaranteed payments not related to performance and excessive perquisites.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Assess equity plans case-by-case; generally oppose plans causing greater than 10% dilution at mature companies or exceeding 20% at small or start-up companies. Oppose stock option repricing without shareowner approval in past two years, evergreen plans, lack of minimal vesting periods, and liberal change-in-control provisions.

- **Performance Alignment:** Require compensation aligned with long-term performance, using multiple financial and non-financial metrics linked to business strategy. Support rigorous performance criteria for a majority of incentives. Oppose discretionary payouts without justification and inadequate stock ownership guidelines or allowances for hedging.

- **Clawbacks:** Support adoption of clawback policies enabling recoupment or cancellation of incentive compensation in case of financial restatement or misconduct affecting performance. May support bonus deferral (escrow/banking) to assess sustained performance.

- **ESG-Based Remuneration:** Consider sustainability and non-financial incentive metrics case-by-case; may support inclusion of factors like workplace safety, environmental performance if they enhance long-term value, opposing unduly prescriptive targets.

- **Voting Considerations:**
  - Link between pay and long-term performance, including assessment of actual compensation consistency.
  - Quality and clarity of disclosure, with opposition to opaque or inadequate reports.
  - Presence of problematic practices such as excessive pay, unresponsive boards, unjustified equity repricing, excessive internal pay disparities, and failure to address shareowner concerns.

- **In summary:** The Systems advocate for executive and director remuneration practices that align pay with long-term, sustainable performance, ensure transparency, incorporate robust oversight, and discourage excessive or misaligned compensation."
DNB Asset Management,"**DNB Asset Management Voting Policy on Remuneration**

- **General Approach:** DNB AM expects executive compensation to motivate long-term value creation with a preferred time horizon of at least five years; remuneration should be reasonable and aligned with market/sector practice.

- **Salary Caps and Bonuses:** Not mentioned

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Share schemes and option programs should reflect a long-term view, normally not approved if duration is less than three years or if redemption price is below market price; encourages a duration of at least five years (vesting plus holding period).

- **Performance Alignment:** Not mentioned

- **Clawbacks:** Not mentioned

- **ESG-Based Remuneration:** Not mentioned explicitly; however, DNB AM expects Boards to address material risks and opportunities related to sustainability and supports ESG proposals that align company interests with society.

- **Voting Considerations:**
  - Board remuneration should be reasonable relative to market and sector practices.
  - Board fees are strongly recommended to be paid substantially in company shares at market price with schemes that promote long-term ownership.
  - DNB AM may vote against directors or the entire Board for material governance failures including inadequate management of ESG risks and opportunities.

- **In summary:** Executive remuneration should be transparent, market-aligned, and designed to promote long-term value creation and ownership."
Credit Suisse Asset Management (Schweiz) AG,"**Credit Suisse Asset Management (Schweiz) AG Voting Policy on Remuneration**

```markdown
**Credit Suisse Asset Management (Schweiz) AG Voting Policy on Remuneration**

- **General Approach:** Compensation should align with company performance, strategy, and shareholder outcomes, incorporating both short- and long-term elements with a preference for simple, concise, and transparent pay schemes.

- **Salary Caps and Bonuses:** Salary increases greater than 10% require reasonable explanation; multi-year guarantees for salaries, bonuses, or equity compensation are discouraged; pension contributions should not exceed 30% of fixed salary unless aligned with the wider workforce.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:**  
  - The expected final value of long-term awards should exceed short-term awards.  
  - Long-term incentive measurement periods should be at least three years with additional holding periods encouraged.  
  - Less than 50% of LTIP awards should not be subject to performance conditions; total vesting periods must be at least three years.  
  - Stock option grants should not allow retesting or be awarded at a discount; options should be expensed.  
  - Dilution limits: support equity issuance up to 20% of existing share capital, with up to 10% without pre-emption rights; share awards must not be overly dilutive.  
  - Restricted stock units (RSUs) are scrutinized if moving to 100% RSU grant with less than 50% discount to LTIP value, total vesting and holding periods under five years, or CEO shareholding requirement under 200% of salary.

- **Performance Alignment:** Majority of compensation must be tied to stringent performance conditions aligned with business strategy, balancing fixed/variable and financial/non-financial elements including ESG metrics; stretch performance hurdles promoting sustainable value creation are required; discretion in award adjustments must be explained; long-term incentives should exclude retesting and retrospective amendments of performance criteria.

- **Clawbacks:** Present in certain markets (Austria, Canada, Denmark, Germany, Greece, Israel, Italy, Netherlands, Spain, Switzerland, UK, USA); absence of clawback policies may lead to voting against remuneration schemes.

- **ESG-Based Remuneration:** Material ESG failings must be considered in incentive awards; ESG metrics should be part of performance conditions; remuneration committees should integrate ESG concerns into pay decisions.

- **Voting Considerations:**
  - Remuneration committees should be majority independent non-executive directors; executives should not serve on these committees.  
  - Negative votes may be cast if significant objections arise including lack of linkage between pay and performance, insufficient disclosure, excessive pay relative to peers, inadequate performance hurdles, or failure to address previous shareholder concerns.  
  - Golden parachutes must have double trigger conditions without automatic vesting or tax gross-ups.

- **In summary:** Credit Suisse Asset Management supports remuneration policies that are transparent, performance-aligned with long-term and ESG considerations, reasonable in quantum, and overseen by independent remuneration committees, with a focus on shareholder value and clear disclosure.
```"
DNCA Investments,"**DNCA Investments Voting Policy on Remuneration**

- **General Approach:** Remuneration policies must align executive and shareholder interests, be transparent, balanced, exhaustive, consistent, and comparable within the company’s context and sector.

- **Salary Caps and Bonuses:** DNCA Finance is against excessive remuneration and aggressive increases without justification. Opposes ""top-hat"" pension schemes and severance payments exceeding two years of fixed and variable remuneration. Severance pay must be performance-conditioned and denied to executives voluntarily leaving or retiring.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** The total amount of outstanding plans must not exceed 1% of share capital. Shares must not be granted at a discount. DNCA is against granting stock options or performance shares at the time of an executive’s departure and favors cancellation if performance conditions can no longer be met.

- **Performance Alignment:** Variable or exceptional remuneration must align executives with shareholder interests. Quantitative performance criteria must be clear, demanding, and the weight of discretionary assessment limited. Supports transparent and demanding quantitative non-financial CSR criteria linked to sustainable development. Performance conditions for severance packages must cover at least two financial years and be demanding.

- **Clawbacks:** Not mentioned explicitly, but severance pay is subject to performance conditions and transparency.

- **ESG-Based Remuneration:** DNCA Finance supports incorporating CSR and sustainable development criteria into executive remuneration and voting in favor of this integration.

- **Voting Considerations:**
  - Against manifestly excessive remuneration and unjustified aggressive increases.
  - Against top-hat pension schemes and excessive severance packages.
  - Opposes variable incentive compensation for non-executive directors and statutory auditors.

- **In summary:** DNCA Finance advocates for transparent, performance-aligned, and socially responsible executive remuneration, opposing excess and supporting strong shareholder oversight."
Degroof Petercam,"**Degroof Petercam Voting Policy on Remuneration**

- **General Approach:** Remuneration policies should contribute to the company’s business strategy, long-term interests, and sustainability. DPAM supports transparency, clarity, and fairness in remuneration aligned with long-term value creation and ESG factors.

- **Salary Caps and Bonuses:** Remuneration must ensure a balance between fixed and variable pay, with the fixed component sufficiently high to allow flexible variable pay including the possibility of no variable pay. Bonus payments should not be made if the company has not made profits over the last two years.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** The policy requires clear vesting periods, vesting price, and share retention where applicable. Absence of clawback provisions for LTIPs is a reason to vote against remuneration. Numeric dilution limits and repricing/strike price rules are not mentioned.

- **Performance Alignment:** Variable remuneration should be based on clear, comprehensive financial and non-financial criteria, including corporate social responsibility. Annual variable remuneration should consider (a) evolution of EBITDA and (b) individual performance against measurable objectives. Deferral of variable remuneration and modification after grant/payment are supported.

- **Clawbacks:** Clawback provisions are required for LTIPs; lack thereof will cause a vote against remuneration proposals.

- **ESG-Based Remuneration:** Executive remuneration should be linked to climate targets (STIP or LTIP) without conflicting performance pay criteria, integrating ESG and long-term sustainability. Companies are expected to integrate ESG risks in pay and reporting.

- **Voting Considerations:**  
  - Vote against if performance targets are changed retrospectively, substantial one-off payments lack performance criteria, golden parachutes are value destructive, or pension arrangements are out of line with broader workforce.  
  - Vote against if bonus payments occur despite two years of no profits.  
  - Support say-on-pay allowing shareholders to vote on remuneration policy and implementation; engage companies if no such consultation occurs.

- **In summary:** DPAM demands transparent, fair, and ESG-aligned remuneration policies that promote long-term value creation, with strict voting discipline against policies lacking clawbacks, justified performance criteria, or linked to unsustainable pay practices."
Deka Investment GmbH,"**Deka Investment GmbH Voting Policy on Remuneration**

- **General Approach:** Remuneration must align with sustainable company performance, discourage inappropriate risk-taking, be transparent, comprehensible, and promote long-term strategy and business development.

- **Salary Caps and Bonuses:** Absolute caps are required on all variable remuneration components, including share price-linked variable pay. Maximum total remuneration and caps on variable pay must be determined by the supervisory board. Discretionary bonus deviation limited to ±20% of target; special payments outside regular variable remuneration should be avoided or disclosed.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Share option plans must not dilute existing share capital by more than 5%. Exercise price should equal share price at issuance; any reduction must not exceed 5% and must be justified. Share ownership requirements mandate at least one year’s gross fixed salary in shares, held after 4 years permanently during board membership.

- **Performance Alignment:** Variable remuneration must be linked to challenging, transparent, and verifiable performance targets that may not be subsequently eased. Short-term variable pay plus fixed remuneration must not exceed 60% of target; long-term variable pay should exceed short-term and constitute more than half of total variable remuneration, with vesting/accessibility over at least four years. At least two KPIs used for one-year and multi-year variable remuneration each, not solely share price or TSR-based. ESG criteria integral as non-financial performance indicators. Malus and clawback provisions apply.

- **Clawbacks:** Present. Applicable for intentional or grossly negligent breaches, compliance violations, and incorrect performance data leading to erroneous payments. Variable remuneration must allow withholding or reclaiming pay.

- **ESG-Based Remuneration:** Recognised as integral non-financial performance criteria reflecting key sustainability risks and opportunities aligned with business strategy. Failure on ESG issues can lead to voting against discharge of management or supervisory boards.

- **Voting Considerations:**
  - Approval below 75% for remuneration system or report requires company improvement or statement at next AGM; otherwise, Deka may withhold discharge or vote against remuneration committee members.
  - Deka rejects executive directors moving to chairman/non-executive roles without a two-year waiting period.
  - Supervisory board remuneration should be fixed, not performance-related; pension arrangements opposed; voluntary share purchases capped at 15% of total compensation.

- **In summary:** Deka requires remuneration systems to be transparent, capped, performance-aligned with both financial and ESG metrics, and subject to rigorous shareholder approval and oversight."
